#update, fitness:max, fitness:mean
0, 2.22507e-308, 0
1, 1, 0.081
2, 1, 0.332
3, 1, 0.849
4, 1, 1
5, 1, 1
6, 1, 1
7, 1, 1
8, 2, 1.008
9, 2, 1.034
10, 2, 1.115
11, 2, 1.389
12, 3, 1.863
13, 3, 2.061
14, 3, 2.248
15, 3, 2.574
16, 3, 2.887
17, 4, 2.979
18, 4, 3.028
19, 4, 3.105
20, 4, 3.262
21, 4, 3.522
22, 4, 3.784
23, 4, 3.894
24, 5, 3.96
25, 5, 3.968
26, 5, 3.992
27, 5, 4.011
28, 5, 4.056
29, 5, 4.133
30, 5, 4.215
31, 5, 4.325
32, 5, 4.447
33, 5, 4.575
34, 5, 4.724
35, 5, 4.771
36, 6, 4.842
37, 6, 4.878
38, 6, 4.927
39, 6, 4.989
40, 6, 4.994
41, 6, 5.091
42, 6, 5.084
43, 6, 5.158
44, 6, 5.213
45, 6, 5.323
46, 6, 5.483
47, 7, 5.544
48, 7, 5.582
49, 7, 5.602
50, 7, 5.625
51, 6, 5.714
52, 6, 5.728
53, 6, 5.776
54, 6, 5.75
55, 6, 5.691
56, 7, 5.741
57, 7, 5.762
58, 7, 5.789
59, 7, 5.727
60, 7, 5.678
61, 7, 5.696
62, 7, 5.705
63, 7, 5.729
64, 7, 5.719
65, 7, 5.733
66, 7, 5.805
67, 7, 5.863
68, 7, 5.832
69, 7, 5.933
70, 7, 5.96
71, 7, 5.989
72, 7, 6.098
73, 7, 6.201
74, 7, 6.265
75, 7, 6.308
76, 8, 6.292
77, 8, 6.303
78, 8, 6.392
79, 8, 6.417
80, 8, 6.428
81, 8, 6.582
82, 8, 6.648
83, 8, 6.753
84, 8, 6.761
85, 8, 6.735
86, 8, 6.734
87, 8, 6.694
88, 8, 6.732
89, 8, 6.789
90, 8, 6.756
91, 8, 6.714
92, 8, 6.723
93, 8, 6.781
94, 8, 6.878
95, 8, 6.965
96, 8, 7.002
97, 8, 6.983
98, 8, 6.976
99, 8, 7.05
100, 8, 7.004
101, 8, 7.058
102, 8, 7.135
103, 8, 7.118
104, 8, 7.132
105, 8, 7.155
106, 8, 7.151
107, 8, 7.228
108, 8, 7.222
109, 8, 7.161
110, 8, 7.116
111, 8, 7.14
112, 8, 7.205
113, 8, 7.194
114, 8, 7.208
115, 8, 7.252
116, 8, 7.257
117, 8, 7.278
118, 8, 7.347
119, 8, 7.298
120, 8, 7.28
121, 8, 7.257
122, 8, 7.266
123, 8, 7.205
124, 8, 7.069
125, 8, 7.066
126, 8, 7.127
127, 8, 7.127
128, 8, 7.102
129, 8, 7.09
130, 8, 7.098
131, 8, 7.057
132, 8, 7.078
133, 8, 7.065
134, 8, 7.087
135, 8, 7.083
136, 8, 7.103
137, 8, 7.128
138, 8, 7.121
139, 8, 7.108
140, 8, 7.131
141, 8, 7.1
142, 8, 7.102
143, 8, 7.159
144, 8, 7.154
145, 8, 7.154
146, 8, 7.239
147, 8, 7.242
148, 8, 7.169
149, 8, 7.129
150, 8, 7.114
151, 8, 7.174
152, 8, 7.195
153, 8, 7.157
154, 8, 7.117
155, 8, 7.085
156, 8, 7.048
157, 8, 7.049
158, 8, 7.034
159, 8, 7.075
160, 8, 7.037
161, 8, 6.984
162, 8, 7.063
163, 8, 6.952
164, 8, 7.004
165, 8, 6.997
166, 8, 6.953
167, 8, 7.021
168, 8, 7.076
169, 8, 7.051
170, 8, 6.97
171, 8, 7.019
172, 8, 6.981
173, 8, 7.031
174, 8, 7.073
175, 8, 7.072
176, 8, 7.128
177, 8, 7.149
178, 8, 7.192
179, 8, 7.233
180, 8, 7.226
181, 8, 7.143
182, 8, 7.143
183, 8, 7.207
184, 8, 7.215
